He3_kin15 
Run#	Charge_dnew	DT_1	DT_2	DT_3	PID_eff	
1841	19376.393	0.193	0.173	0.389	1.02128	
1842	67043.575	0.258	0.157	0.455	1.14956	
1843	13098.324	0.254	0.180	0.484	1.16667	
1844	56814.020	0.409	0.321	0.567	1.07000	
1845	70390.348	0.258	0.211	0.466	1.10106	
1846	3365.535	0.689	0.715	0.700	1.16667	
1847	2618.868	6.049	7.536	6.166	-nan	
1849	3591.302	0.488	0.717	0.738	1.00000	
1850	19875.955	0.146	0.066	0.332	1.10811	
1851	49336.554	0.220	0.120	0.388	1.03670	
1857	73576.314	0.435	0.406	0.509	1.13703	
1868	69319.457	0.490	0.572	0.650	1.07285	
1869	48962.339	0.520	0.551	0.743	1.14955	
1870	46865.911	0.218	0.191	0.379	1.09948	
1871	39759.510	0.073	0.081	0.207	1.09578	
1872	4548.385	0.756	0.589	0.862	-nan	
1874	42116.905	0.042	0.073	0.209	1.11394	
1875	19859.806	-0.011	0.000	0.123	1.26872	
1876	48663.412	0.201	0.191	0.324	1.05932	
1896	41081.823	0.409	0.464	0.538	1.11209	
1897	54161.117	0.376	0.451	0.494	1.12515	
1898	74049.238	0.364	0.292	0.528	1.12253	
1899	67901.673	0.455	0.348	0.515	1.14490	
1900	3613.707	1.051	0.398	1.212	-nan	
1917	72192.227	0.221	0.185	0.418	1.11310	
1926	36251.720	0.322	0.241	0.451	1.06977	
