D2_kin16 
Run#	Charge_dnew	DT_6	DT_7	DT_8	PID_eff	
90887	62956.903	0.099	0.231	0.000	0.00000	
90905	46589.380	0.133	0.204	0.000	0.00000	
90906	43107.579	0.065	0.234	0.000	0.00000	
90911	87658.285	0.083	0.227	0.000	0.00000	
90912	64552.575	0.076	0.235	0.000	0.00000	
90913	39993.428	0.059	0.201	0.000	0.00000	
90955	63355.287	0.066	0.205	0.000	0.00000	
90956	63530.886	0.072	0.251	0.000	0.00000	
90957	41496.724	0.074	0.198	0.000	0.00000	
90972	41105.365	0.157	0.226	0.000	0.00000	
90973	14405.197	0.000	0.211	0.000	0.00000	
90974	35929.493	0.117	0.224	0.000	0.00000	
90988	61862.306	0.102	0.239	0.000	0.00000	
90989	73164.418	0.119	0.247	0.000	0.00000	
90990	62353.791	0.227	0.206	0.000	0.00000	
91008	21657.467	0.022	0.133	0.000	0.00000	
91009	21727.556	0.092	0.233	0.000	0.00000	
91010	74076.764	0.110	0.257	0.000	0.00000	
91025	60647.849	0.061	0.210	0.000	0.00000	
91026	62255.641	0.105	0.213	0.000	0.00000	
91027	42485.922	0.028	0.229	0.000	0.00000	
91038	45418.296	0.112	0.234	0.000	0.00000	
91039	49675.113	0.095	0.207	0.000	0.00000	
91064	39236.915	0.063	0.214	0.000	0.00000	
91065	63102.522	-0.068	0.073	0.000	0.00000	
91066	34513.194	0.216	0.225	0.000	0.00000	
