EM_kin16 
Run#	Charge_dnew	DT_5	DT_6	DT_7	PID_eff	
90943	21086.296	0.044	0.048	0.187	inf	
90991	30271.431	0.094	0.030	0.185	3.00000	
91125	19227.592	0.046	0.000	0.169	-nan	
91126	58693.616	0.069	0.080	0.209	20.00000	
91142	59441.920	0.097	0.060	0.197	13.00000	
91218	38710.986	0.098	0.151	0.147	17.00000	
91219	7190.787	0.050	0.000	0.126	-nan	
91220	82710.506	0.106	0.045	0.184	12.83333	
