Detector/PMT#,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,
L.s0.la,5657.887548,
L.s0.ra,4536.616626,
L.s2.la,4459.913506,5952.031243,5461.679197,5419.498796,5497.049827,6594.887362,5289.355081,4781.826431,5791.970359,5299.812689,6195.303334,6699.797623,6097.719631,6700.737772,5348.094147,5450.916459,
L.s2.ra,4607.160744,5967.625707,4149.273773,4486.559499,6757.253536,6138.498564,4277.779436,5073.553486,5964.446260,5250.946289,5736.379607,4330.896038,6670.719397,5756.817282,5609.982533,5026.586281,
L.prl1.a,301.602683,303.165659,230.433395,268.861807,389.031116,307.263087,346.388269,330.183722,363.761190,318.963662,338.334293,276.972901,347.430554,247.473366,288.859784,421.532717,250.948524,368.016313,360.179825,284.775055,336.610047,605.990535,440.323667,510.979816,547.738352,481.501259,312.902765,511.592047,329.428777,497.038389,427.410796,475.823145,482.369044,319.189397,
L.prl2.a,443.582409,504.639633,502.730558,282.401660,355.918732,569.729259,418.633697,502.184780,390.681235,324.174909,382.928638,473.591891,539.469004,518.492318,477.630828,563.136932,296.451162,536.164988,540.672070,495.294352,503.505700,574.567700,493.984761,543.113200,535.780450,498.112268,500.806517,536.333385,499.038073,614.526983,551.896996,533.305599,583.490864,241.266415,
L.cer.a,5814.006997,5781.116933,6402.358913,3813.289044,6260.475332,4090.677035,5600.203014,3703.847149,6021.915122,4917.526754,
