H3_kin3 
Run#	Charge_dnew	DT_1	DT_2	DT_3	PID_eff	
1290	28510.881	2.694	2.702	2.822	1.03654	
1291	23642.778	2.046	2.002	2.145	1.03739	
1292	32885.394	2.299	2.295	2.412	1.03698	
1293	17468.144	1.915	1.903	2.006	1.03434	
1294	20904.374	2.997	2.913	2.944	1.03680	
1329	16545.432	0.972	0.944	0.990	1.03879	
1331	7710.640	1.649	1.643	1.664	1.03472	
1333	13219.279	2.626	2.639	2.653	1.03659	
1334	12336.496	2.592	2.656	2.635	1.03678	
1335	14607.840	3.676	3.642	3.822	1.03407	
1336	15635.550	2.556	2.504	2.646	1.03767	
1337	13448.602	3.694	3.750	3.823	1.03604	
1338	16886.961	2.535	2.453	2.606	1.03467	
1339	3027.359	8.609	8.524	8.767	1.03333	
