H3_kin7 
Run#	Charge_dnew	DT_1	DT_2	DT_3	PID_eff	
1369	43678.328	0.693	0.647	0.806	1.03456	
1370	35904.664	1.043	1.024	1.212	1.03904	
1377	39086.177	1.028	1.066	1.254	1.02906	
1378	37199.608	0.683	0.750	0.869	1.04076	
1379	24950.998	0.395	0.375	0.544	1.03676	
1389	36809.712	0.793	0.841	0.969	1.03138	
1390	35764.844	0.174	0.163	0.395	1.03148	
2616	34580.880	0.435	0.403	0.620	0.46401	
