He3_kin7 
Run#	Charge_dnew	DT_1	DT_2	DT_3	PID_eff	
1367	42384.676	0.549	0.532	0.691	1.02958	
1368	43089.284	0.680	0.656	0.817	1.03099	
1374	35484.459	0.568	0.562	0.685	1.03516	
1375	32144.787	1.093	1.054	1.093	1.02649	
1376	2425.496	0.928	0.948	0.999	1.03397	
1383	36368.194	0.537	0.541	0.704	1.02826	
1384	10873.680	0.414	0.371	0.833	1.03385	
1386	37328.756	1.105	1.096	1.276	1.03301	
1387	37097.864	0.693	0.726	0.846	1.03901	
1388	8881.410	0.546	0.352	1.044	1.02183	
1373	41237.073	0.538	0.508	0.678	1.03421	
2613	34987.525	0.389	0.352	0.513	0.49594	
2614	31316.594	0.676	0.682	0.780	0.45695	
2615	31659.621	0.354	0.304	0.507	0.51431	
